,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
0,-1,-100,-100,-100,"-1,-1,-1",0,0,-2,0,0,0,80,82,10,0,92,-11.82,0,2.0,-1.0,-999.0,13:29:31.126914,192.168.0.113
5,-1,-100,-100,-100,"-1,-1,-1",0,0,-2,0,0,0,80,82,10,0,92,-11.82,0,2.0,-1.0,-998.0,13:29:31.245858,192.168.0.113
12,-1,-100,-100,-100,"-1,-1,-1",0,0,-2,0,0,0,80,82,10,0,92,-11.78,0,2.0,-2.0,-999.0,13:29:31.357738,192.168.0.113
18,-1,-100,-100,-100,"-1,-1,-1",0,0,-2,0,0,0,80,82,10,0,92,-11.81,0,2.0,-3.0,-1000.0,13:29:31.506320,192.168.0.113
23,-1,-100,-100,-100,"-1,-1,-1",0,0,-2,0,0,0,80,82,10,0,92,-11.81,0,6.0,-6.0,-999.0,13:29:31.608681,192.168.0.113
28,-1,-100,-100,-100,"-1,-1,-1",0,0,-2,0,0,0,80,82,10,0,92,-11.81,0,0.0,2.0,-999.0,13:29:31.636591,192.168.0.113
33,-1,-100,-100,-100,"-1,-1,-1",0,0,-2,0,0,0,80,82,10,0,92,-11.81,0,-10.0,-8.0,-995.0,13:29:31.738452,192.168.0.113
38,-1,-100,-100,-100,"-1,-1,-1",0,0,-3,0,0,0,80,82,10,0,92,-11.81,0,-21.0,38.0,-1026.0,13:29:31.840366,192.168.0.113
43,-1,-100,-100,-100,"-1,-1,-1",0,0,-3,0,0,0,80,82,10,0,92,-11.81,0,44.0,-28.0,-1094.0,13:29:31.958429,192.168.0.113
48,-1,-100,-100,-100,"-1,-1,-1",0,0,-4,0,0,-1,80,82,10,0,92,-11.81,0,6.0,-7.0,-1233.0,13:29:32.077815,192.168.0.113
53,-1,-100,-100,-100,"-1,-1,-1",0,0,-4,0,0,-5,80,82,10,0,92,-11.81,0,20.0,0.0,-1214.0,13:29:32.225829,192.168.0.113
58,-1,-100,-100,-100,"-1,-1,-1",1,0,-4,0,0,-6,80,82,14,0,92,-11.52,0,25.0,-14.0,-1392.0,13:29:32.248507,192.168.0.113
63,-1,-100,-100,-100,"-1,-1,-1",1,0,-4,0,0,-7,80,82,22,0,92,-11.42,0,33.0,-9.0,-1197.0,13:29:32.350435,192.168.0.113
68,-1,-100,-100,-100,"-1,-1,-1",1,0,-4,0,0,-7,80,83,29,10,92,-11.27,0,3.0,23.0,-1126.0,13:29:32.452385,192.168.0.113
73,-1,-100,-100,-100,"-1,-1,-1",0,0,-4,0,0,-6,80,83,38,10,92,-11.24,1,11.0,4.0,-1051.0,13:29:32.558002,192.168.0.113
78,7,19,2,42,"0,3,177",1,0,-4,0,0,-6,80,83,47,20,92,-11.09,1,16.0,5.0,-996.0,13:29:32.680310,192.168.0.113
83,7,21,4,45,"1,4,175",1,0,-4,0,0,-5,80,83,56,20,92,-11.07,1,20.0,3.0,-957.0,13:29:32.797882,192.168.0.113
89,7,24,8,56,"3,4,173",1,0,-4,0,0,-4,80,83,63,30,92,-11.0,1,2.0,10.0,-936.0,13:29:32.944725,192.168.0.113
94,7,25,9,62,"3,4,172",1,0,-4,0,0,-3,80,83,70,30,92,-10.93,1,12.0,24.0,-921.0,13:29:32.962476,192.168.0.113
99,7,23,4,67,"1,3,176",1,0,-4,0,0,-2,80,83,76,30,92,-10.87,1,15.0,37.0,-886.0,13:29:33.064374,192.168.0.113
104,7,26,7,73,"3,4,174",1,0,-4,0,0,-1,80,83,81,40,92,-10.82,1,14.0,-18.0,-899.0,13:29:33.166347,192.168.0.113
109,7,28,15,73,"4,5,169",1,0,-4,0,0,-1,80,83,85,40,92,-10.7,1,14.0,-11.0,-919.0,13:29:33.281704,192.168.0.113
114,7,26,8,80,"2,3,174",1,0,-4,0,0,0,80,83,88,40,92,-10.71,1,14.0,0.0,-920.0,13:29:33.401195,192.168.0.113
115,7,26,8,82,"2,3,174",1,0,-4,0,0,0,80,83,91,40,92,-10.69,1,26.0,12.0,-924.0,13:29:33.421315,192.168.0.113
120,7,26,11,86,"2,3,173",1,0,-4,0,0,0,80,83,92,50,92,-10.65,2,21.0,-17.0,-914.0,13:29:33.523363,192.168.0.113
125,7,26,11,86,"2,3,173",0,0,-4,0,0,0,80,83,94,50,92,-10.66,2,25.0,-18.0,-939.0,13:29:33.758199,192.168.0.113
130,7,25,12,90,"2,3,173",0,0,-4,0,0,0,80,83,95,50,92,-10.69,2,-13.0,-2.0,-955.0,13:29:33.767213,192.168.0.113
135,7,25,13,90,"2,4,173",0,0,-4,0,0,0,80,83,96,50,92,-10.7,2,11.0,13.0,-970.0,13:29:33.883073,192.168.0.113
140,7,22,13,92,"0,3,173",0,0,-4,0,0,0,80,83,97,50,92,-10.71,2,20.0,0.0,-955.0,13:29:33.931414,192.168.0.113
146,7,24,9,93,"1,3,175",0,0,-4,0,0,0,80,83,97,50,92,-10.7,2,-3.0,2.0,-968.0,13:29:34.033392,192.168.0.113
151,7,17,5,96,"-2,2,177",0,0,-4,0,0,1,80,83,97,50,92,-10.66,2,10.0,0.0,-961.0,13:29:34.135227,192.168.0.113
156,7,24,12,92,"1,3,174",0,0,-4,0,0,1,80,83,96,50,92,-10.62,2,14.0,-11.0,-975.0,13:29:34.239367,192.168.0.113
162,7,23,19,90,"1,4,170",0,0,-4,0,0,1,80,83,96,50,92,-10.62,2,5.0,-11.0,-969.0,13:29:34.383879,192.168.0.113
168,7,24,15,90,"2,4,172",0,0,-4,0,0,1,80,82,94,50,92,-10.65,2,12.0,-7.0,-988.0,13:29:34.486635,192.168.0.113
173,7,24,14,90,"1,4,172",0,0,-4,0,0,1,80,82,93,50,92,-10.68,3,14.0,6.0,-980.0,13:29:34.598908,192.168.0.113
178,7,23,13,89,"1,3,173",0,0,-4,0,0,1,80,82,93,50,92,-10.68,3,26.0,-9.0,-980.0,13:29:34.645238,192.168.0.113
183,7,21,11,89,"0,3,174",0,0,-4,0,0,1,80,82,91,50,92,-10.68,3,10.0,2.0,-999.0,13:29:34.747215,192.168.0.113
188,7,24,9,88,"1,3,175",1,0,-4,0,0,1,80,82,90,50,92,-10.68,3,-3.0,18.0,-1003.0,13:29:34.849296,192.168.0.113
193,7,24,9,88,"1,3,175",1,0,-4,0,0,1,80,82,89,50,92,-10.71,3,12.0,-6.0,-1002.0,13:29:34.960485,192.168.0.113
198,7,27,21,82,"3,5,168",1,0,-4,0,0,1,80,82,88,50,92,-10.69,3,25.0,-15.0,-999.0,13:29:35.198789,192.168.0.113
203,7,25,9,83,"2,3,175",0,0,-4,0,0,1,80,82,86,50,92,-10.78,3,25.0,-19.0,-994.0,13:29:35.199147,192.168.0.113
