,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timestamp,address
0,-1,-100,-100,-100,"0,0,0",0,-1,0,0,0,0,64,66,10,0,100,-17.86,0,-6.0,27.0,-998.0,11:23:07.645354,192.168.0.114
6,-1,-100,-100,-100,"0,0,0",0,-1,0,0,0,0,64,66,10,0,100,-17.85,0,-5.0,28.0,-1000.0,11:23:07.747522,192.168.0.114
11,-1,-100,-100,-100,"0,0,0",0,-1,0,0,0,0,64,66,10,0,100,-17.86,0,-8.0,29.0,-999.0,11:23:07.851328,192.168.0.114
17,-1,-100,-100,-100,"0,0,0",0,-1,0,0,0,0,64,66,10,0,100,-17.86,0,-10.0,21.0,-999.0,11:23:07.951956,192.168.0.114
22,-1,-100,-100,-100,"0,0,0",0,-1,0,0,0,0,65,66,10,0,100,-17.86,0,4.0,46.0,-991.0,11:23:08.053858,192.168.0.114
28,-1,-100,-100,-100,"0,0,0",0,-1,0,0,0,0,65,66,10,0,100,-17.86,0,-3.0,8.0,-1035.0,11:23:08.155934,192.168.0.114
33,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,66,10,0,100,-17.86,0,-19.0,0.0,-1081.0,11:23:08.257796,192.168.0.114
38,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,1,65,66,10,0,100,-17.86,0,-5.0,10.0,-1266.0,11:23:08.359584,192.168.0.114
43,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,4,65,66,10,0,100,-17.86,0,-19.0,-24.0,-1338.0,11:23:08.461810,192.168.0.114
48,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,6,65,66,13,0,100,-17.86,0,-62.0,1.0,-1075.0,11:23:08.563576,192.168.0.114
53,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,7,65,66,22,10,100,-17.41,0,-81.0,-27.0,-1017.0,11:23:08.665909,192.168.0.114
59,-1,-100,-100,-100,"0,0,0",-2,0,0,1,0,7,65,66,30,10,100,-17.5,0,-76.0,-34.0,-1003.0,11:23:08.767652,192.168.0.114
64,-1,-100,-100,-100,"0,0,0",-3,2,0,1,0,6,65,66,36,20,100,-17.26,1,-49.0,-30.0,-927.0,11:23:08.869875,192.168.0.114
69,-1,-100,-100,-100,"0,0,0",-3,2,0,1,0,6,65,66,44,20,100,-17.31,1,-43.0,-50.0,-941.0,11:23:08.971895,192.168.0.114
74,-1,-100,-100,-100,"0,0,0",-3,3,0,1,0,5,64,67,52,30,100,-17.23,1,-54.0,-18.0,-944.0,11:23:09.073807,192.168.0.114
79,-1,-100,-100,-100,"0,0,0",-4,2,0,1,0,4,64,67,58,30,100,-17.24,1,-46.0,-23.0,-920.0,11:23:09.175775,192.168.0.114
84,-1,-100,-100,-100,"0,0,0",-5,2,0,1,0,3,64,67,63,30,100,-17.18,1,-42.0,-1.0,-891.0,11:23:09.277833,192.168.0.114
89,-1,-100,-100,-100,"0,0,0",-4,1,0,0,0,2,64,67,68,30,100,-17.02,1,-19.0,-7.0,-920.0,11:23:09.379564,192.168.0.114
94,-1,-100,-100,-100,"0,0,0",-3,0,0,0,0,1,64,67,72,40,100,-17.17,1,-59.0,-3.0,-960.0,11:23:09.481848,192.168.0.114
95,-1,-100,-100,-100,"0,0,0",-3,0,0,0,0,1,64,67,76,40,100,-17.19,1,-38.0,-1.0,-975.0,11:23:09.533094,192.168.0.114
100,-1,-100,-100,-100,"0,0,0",-4,0,0,0,0,1,64,67,79,40,100,-17.07,1,-70.0,13.0,-979.0,11:23:09.634881,192.168.0.114
105,-1,-100,-100,-100,"0,0,0",-4,0,0,0,-1,1,64,67,82,40,100,-16.9,1,-79.0,36.0,-946.0,11:23:09.736482,192.168.0.114
110,-1,-100,-100,-100,"0,0,0",-4,-2,0,0,-1,0,64,67,85,50,100,-16.82,2,-28.0,11.0,-917.0,11:23:09.838828,192.168.0.114
115,-1,-100,-100,-100,"0,0,0",-3,-3,0,0,0,0,64,67,86,50,100,-16.81,2,-40.0,-19.0,-972.0,11:23:09.940308,192.168.0.114
120,-1,-100,-100,-100,"0,0,0",-3,-2,0,0,0,0,65,67,88,50,100,-16.82,2,-27.0,-8.0,-944.0,11:23:10.042519,192.168.0.114
125,-1,-100,-100,-100,"0,0,0",-2,-1,0,0,0,0,65,67,90,50,100,-16.68,2,-26.0,-22.0,-977.0,11:23:10.147528,192.168.0.114
130,-1,-100,-100,-100,"0,0,0",-2,0,0,0,0,0,65,67,91,50,100,-16.75,2,-12.0,-16.0,-1005.0,11:23:10.246271,192.168.0.114
136,-1,-100,-100,-100,"0,0,0",-2,1,0,0,0,0,65,67,91,50,100,-16.75,2,-10.0,-11.0,-985.0,11:23:10.348495,192.168.0.114
141,-1,-100,-100,-100,"0,0,0",-2,1,0,0,0,0,65,67,92,50,100,-16.84,2,-26.0,-15.0,-977.0,11:23:10.450651,192.168.0.114
146,-1,-100,-100,-100,"0,0,0",-1,0,0,-1,0,0,65,67,93,50,100,-16.86,2,-18.0,-31.0,-993.0,11:23:10.552481,192.168.0.114
152,-1,-100,-100,-100,"0,0,0",-1,0,0,-1,0,0,65,67,94,60,100,-16.83,2,-10.0,-9.0,-989.0,11:23:10.654214,192.168.0.114
158,-1,-100,-100,-100,"0,0,0",0,1,0,-1,0,0,65,67,94,60,100,-16.89,2,-7.0,-30.0,-952.0,11:23:10.756755,192.168.0.114
163,-1,-100,-100,-100,"0,0,0",0,0,0,-1,0,0,65,67,94,60,100,-16.81,3,-16.0,-48.0,-961.0,11:23:10.858604,192.168.0.114
168,-1,-100,-100,-100,"0,0,0",0,1,0,-1,0,0,65,67,93,60,100,-16.94,3,-3.0,-8.0,-984.0,11:23:10.960518,192.168.0.114
173,-1,-100,-100,-100,"0,0,0",0,1,0,-1,0,0,65,67,93,60,100,-16.89,3,1.0,-29.0,-999.0,11:23:11.062500,192.168.0.114
178,-1,-100,-100,-100,"0,0,0",0,1,0,0,0,-1,65,67,93,60,100,-16.94,3,-46.0,-10.0,-961.0,11:23:11.164476,192.168.0.114
183,-1,-100,-100,-100,"0,0,0",0,1,0,0,0,-1,65,67,93,60,100,-16.84,3,-15.0,-36.0,-961.0,11:23:11.266534,192.168.0.114
188,-1,-100,-100,-100,"0,0,0",0,1,1,0,0,-1,65,67,92,60,100,-16.96,3,-52.0,-20.0,-992.0,11:23:11.368636,192.168.0.114
193,-1,-100,-100,-100,"0,0,0",-1,1,1,0,0,-1,65,67,90,60,100,-17.03,3,-61.0,-26.0,-996.0,11:23:11.470609,192.168.0.114
198,-1,-100,-100,-100,"0,0,0",-2,1,0,0,0,-1,65,67,89,50,100,-16.86,3,-61.0,-13.0,-988.0,11:23:11.572454,192.168.0.114
203,-1,-100,-100,-100,"0,0,0",-2,1,1,0,0,-1,65,67,87,50,100,-16.87,3,-26.0,-8.0,-965.0,11:23:11.762291,192.168.0.114
208,-1,-100,-100,-100,"0,0,0",-3,1,0,0,0,-1,65,67,87,50,100,-16.88,3,-58.0,-1.0,-1017.0,11:23:11.776415,192.168.0.114
213,-1,-100,-100,-100,"0,0,0",-3,0,0,0,0,-1,65,67,86,50,100,-16.9,4,-60.0,-24.0,-1021.0,11:23:11.969291,192.168.0.114
219,-1,-100,-100,-100,"0,0,0",-3,0,0,0,0,0,65,67,85,50,100,-16.89,4,-55.0,-18.0,-1027.0,11:23:11.980521,192.168.0.114
224,-1,-100,-100,-100,"0,0,0",-4,0,0,0,0,0,64,67,85,50,100,-16.89,4,-34.0,-25.0,-1000.0,11:23:12.175200,192.168.0.114
225,-1,-100,-100,-100,"0,0,0",-3,0,0,0,0,0,64,67,84,50,100,-16.91,4,-39.0,-27.0,-984.0,11:23:12.175316,192.168.0.114
230,-1,-100,-100,-100,"0,0,0",-3,0,0,0,0,0,64,67,83,50,100,-16.92,4,-37.0,-20.0,-997.0,11:23:12.235548,192.168.0.114
235,-1,-100,-100,-100,"0,0,0",-3,0,0,0,0,0,64,67,83,50,100,-17.13,4,-17.0,-11.0,-980.0,11:23:12.337278,192.168.0.114
240,-1,-100,-100,-100,"0,0,0",-2,0,0,0,0,0,64,67,83,50,100,-17.19,4,-50.0,9.0,-1005.0,11:23:12.583149,192.168.0.114
245,-1,-100,-100,-100,"0,0,0",-3,0,0,0,0,0,64,67,82,50,100,-17.25,4,-75.0,5.0,-1017.0,11:23:12.584167,192.168.0.114
250,-1,-100,-100,-100,"0,0,0",-3,0,0,0,0,0,64,67,82,50,100,-17.28,4,-45.0,13.0,-1011.0,11:23:12.786686,192.168.0.114
255,-1,-100,-100,-100,"0,0,0",-3,0,0,0,0,0,64,67,82,50,100,-17.16,4,-41.0,0.0,-1006.0,11:23:12.788407,192.168.0.114
261,-1,-100,-100,-100,"0,0,0",-3,-1,0,0,0,0,64,67,82,50,100,-17.12,5,-17.0,-1.0,-975.0,11:23:12.992299,192.168.0.114
266,-1,-100,-100,-100,"0,0,0",-3,-1,0,0,0,0,64,67,82,50,100,-17.19,5,-26.0,-2.0,-1013.0,11:23:12.992572,192.168.0.114
271,-1,-100,-100,-100,"0,0,0",-3,-1,0,0,0,0,65,67,82,50,100,-17.18,5,-29.0,-4.0,-1002.0,11:23:13.198579,192.168.0.114
276,-1,-100,-100,-100,"0,0,0",-3,-1,0,0,0,0,65,67,82,50,100,-17.15,5,-39.0,-11.0,-1028.0,11:23:13.199872,192.168.0.114
282,-1,-100,-100,-100,"0,0,0",-3,0,0,0,0,0,65,67,81,50,100,-17.24,5,-62.0,-5.0,-1024.0,11:23:13.404885,192.168.0.114
287,-1,-100,-100,-100,"0,0,0",-3,0,0,0,0,0,65,67,82,50,100,-17.14,5,-49.0,8.0,-1014.0,11:23:13.405829,192.168.0.114
292,-1,-100,-100,-100,"0,0,0",-3,-1,0,0,0,0,65,67,82,50,100,-17.18,5,-31.0,-10.0,-988.0,11:23:13.611638,192.168.0.114
297,-1,-100,-100,-100,"0,0,0",-3,0,0,0,0,0,65,67,82,50,100,-17.07,5,-39.0,21.0,-985.0,11:23:13.612578,192.168.0.114
303,-1,-100,-100,-100,"0,0,0",-3,0,0,0,0,0,65,67,82,50,100,-17.08,5,-23.0,16.0,-978.0,11:23:13.829010,192.168.0.114
307,-1,-100,-100,-100,"0,0,0",-3,-1,0,0,0,0,65,67,82,50,100,-17.15,5,-35.0,22.0,-1018.0,11:23:13.829745,192.168.0.114
312,-1,-100,-100,-100,"0,0,0",-3,-2,0,0,0,0,65,67,82,50,100,-17.05,6,-41.0,23.0,-994.0,11:23:13.867624,192.168.0.114
317,-1,-100,-100,-100,"0,0,0",-3,-2,0,0,0,0,65,67,82,50,100,-17.1,6,-74.0,25.0,-996.0,11:23:13.969498,192.168.0.114
322,-1,-100,-100,-100,"0,0,0",-3,-2,0,0,0,0,65,66,82,50,100,-17.14,6,-60.0,0.0,-1018.0,11:23:14.071541,192.168.0.114
327,-1,-100,-100,-100,"0,0,0",-3,-2,0,0,0,0,65,66,82,50,100,-17.23,6,-42.0,9.0,-1023.0,11:23:14.173878,192.168.0.114
333,-1,-100,-100,-100,"0,0,0",-3,-2,0,0,0,0,65,66,83,50,100,-17.09,6,-54.0,-22.0,-1041.0,11:23:14.275472,192.168.0.114
338,-1,-100,-100,-100,"0,0,0",-3,0,0,0,0,0,65,66,84,50,100,-17.04,6,-32.0,3.0,-957.0,11:23:14.377368,192.168.0.114
343,-1,-100,-100,-100,"0,0,0",-3,0,0,0,0,0,65,66,85,50,100,-17.04,6,-38.0,4.0,-979.0,11:23:14.479626,192.168.0.114
348,-1,-100,-100,-100,"0,0,0",-2,0,0,0,0,0,65,66,84,50,100,-17.06,6,-29.0,9.0,-1020.0,11:23:14.581070,192.168.0.114
350,-1,-100,-100,-100,"0,0,0",-2,0,0,0,0,0,65,66,85,50,100,-16.97,6,-41.0,-9.0,-1000.0,11:23:14.632150,192.168.0.114
355,-1,-100,-100,-100,"0,0,0",-2,0,0,0,0,0,65,66,84,50,100,-16.97,6,-13.0,-30.0,-1001.0,11:23:14.734469,192.168.0.114
360,-1,-100,-100,-100,"0,0,0",-1,0,0,0,1,0,65,66,83,50,100,-17.01,7,-23.0,-45.0,-993.0,11:23:14.836243,192.168.0.114
365,-1,-100,-100,-100,"0,0,0",-1,1,0,0,1,0,65,66,83,50,100,-17.04,7,-18.0,-31.0,-976.0,11:23:14.938445,192.168.0.114
370,-1,-100,-100,-100,"0,0,0",-1,2,0,0,1,0,65,67,83,50,100,-16.94,7,-18.0,-22.0,-991.0,11:23:15.040621,192.168.0.114
375,-1,-100,-100,-100,"0,0,0",-1,1,0,0,0,0,65,67,83,50,100,-17.04,7,-22.0,-41.0,-991.0,11:23:15.142831,192.168.0.114
380,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,82,50,100,-16.91,7,-37.0,-5.0,-1009.0,11:23:15.244335,192.168.0.114
385,-1,-100,-100,-100,"0,0,0",0,1,0,0,0,0,65,67,82,50,100,-17.02,7,-23.0,-18.0,-1046.0,11:23:15.346351,192.168.0.114
391,-1,-100,-100,-100,"0,0,0",0,2,0,0,0,0,65,67,81,50,100,-16.96,7,-37.0,18.0,-962.0,11:23:15.452185,192.168.0.114
396,-1,-100,-100,-100,"0,0,0",-1,2,0,0,0,0,65,67,82,50,100,-17.03,7,-27.0,32.0,-992.0,11:23:15.550449,192.168.0.114
401,-1,-100,-100,-100,"0,0,0",-1,0,0,0,0,0,65,67,81,50,100,-16.96,7,-10.0,13.0,-1044.0,11:23:15.652332,192.168.0.114
406,-1,-100,-100,-100,"0,0,0",-1,-2,0,0,0,0,65,67,80,50,100,-17.02,7,-19.0,-2.0,-1025.0,11:23:15.754442,192.168.0.114
411,-1,-100,-100,-100,"0,0,0",-1,-1,0,0,0,0,65,67,80,50,100,-17.0,8,-31.0,15.0,-1043.0,11:23:15.856747,192.168.0.114
416,-1,-100,-100,-100,"0,0,0",-1,-1,0,0,0,0,65,67,79,50,100,-16.96,8,4.0,4.0,-1007.0,11:23:15.958663,192.168.0.114
421,-1,-100,-100,-100,"0,0,0",-1,-1,0,0,0,0,64,67,80,50,100,-16.84,8,-34.0,20.0,-987.0,11:23:16.060363,192.168.0.114
427,-1,-100,-100,-100,"0,0,0",-2,-2,0,0,0,0,64,67,80,50,100,-16.99,8,-7.0,-14.0,-1035.0,11:23:16.162296,192.168.0.114
432,-1,-100,-100,-100,"0,0,0",-2,-1,0,0,0,0,64,67,80,50,100,-17.01,8,-25.0,-4.0,-1002.0,11:23:16.264353,192.168.0.114
437,-1,-100,-100,-100,"0,0,0",-1,0,0,0,0,0,64,67,79,50,100,-17.0,8,-48.0,-6.0,-1040.0,11:23:16.366534,192.168.0.114
442,-1,-100,-100,-100,"0,0,0",-1,0,0,0,0,0,64,67,79,50,100,-16.86,8,-7.0,-3.0,-989.0,11:23:16.468002,192.168.0.114
447,-1,-100,-100,-100,"0,0,0",-2,0,0,0,0,0,64,67,80,50,100,-16.94,8,32.0,-31.0,-992.0,11:23:16.570775,192.168.0.114
452,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,64,67,79,50,100,-16.98,8,17.0,-12.0,-982.0,11:23:16.672308,192.168.0.114
457,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,64,67,79,50,100,-16.97,8,-3.0,7.0,-1008.0,11:23:16.774322,192.168.0.114
462,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,64,67,79,50,100,-17.0,9,-2.0,-9.0,-987.0,11:23:16.876300,192.168.0.114
467,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,64,67,78,50,100,-16.93,9,-22.0,0.0,-1012.0,11:23:16.978141,192.168.0.114
472,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,79,50,100,-16.97,9,-13.0,12.0,-1027.0,11:23:17.080148,192.168.0.114
477,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,80,50,100,-16.96,9,25.0,-5.0,-1046.0,11:23:17.182178,192.168.0.114
483,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,80,50,100,-16.93,9,13.0,-22.0,-1002.0,11:23:17.284142,192.168.0.114
488,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,82,50,100,-16.91,9,19.0,-11.0,-1009.0,11:23:17.386288,192.168.0.114
493,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,82,50,100,-16.99,9,18.0,12.0,-976.0,11:23:17.488372,192.168.0.114
498,-1,-100,-100,-100,"0,0,0",1,0,0,0,0,0,65,67,83,50,100,-16.9,9,20.0,-15.0,-982.0,11:23:17.590033,192.168.0.114
503,-1,-100,-100,-100,"0,0,0",1,0,0,0,0,0,65,67,83,50,100,-16.86,9,30.0,-22.0,-1008.0,11:23:17.693345,192.168.0.114
508,-1,-100,-100,-100,"0,0,0",1,0,0,0,0,0,65,67,84,50,100,-16.95,9,28.0,-8.0,-982.0,11:23:17.796107,192.168.0.114
510,-1,-100,-100,-100,"0,0,0",1,0,0,0,0,0,65,67,84,50,100,-16.99,10,19.0,-5.0,-996.0,11:23:17.846207,192.168.0.114
516,-1,-100,-100,-100,"0,0,0",1,0,0,0,0,0,65,67,84,50,100,-16.94,10,0.0,-22.0,-975.0,11:23:17.948283,192.168.0.114
521,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,84,50,100,-16.93,10,24.0,-17.0,-1005.0,11:23:18.049943,192.168.0.114
526,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,84,50,100,-16.82,10,9.0,-7.0,-989.0,11:23:18.152640,192.168.0.114
531,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,84,50,100,-16.89,10,15.0,-22.0,-993.0,11:23:18.254402,192.168.0.114
536,-1,-100,-100,-100,"0,0,0",0,1,0,0,0,0,65,67,84,50,100,-16.91,10,-3.0,3.0,-1004.0,11:23:18.356449,192.168.0.114
541,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,83,50,100,-16.86,10,-10.0,0.0,-1014.0,11:23:18.458609,192.168.0.114
546,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,83,50,100,-16.84,10,7.0,-13.0,-995.0,11:23:18.560246,192.168.0.114
551,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,83,50,100,-16.92,10,10.0,-27.0,-994.0,11:23:18.662493,192.168.0.114
556,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,82,50,100,-16.89,10,6.0,-31.0,-993.0,11:23:18.764443,192.168.0.114
561,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,82,50,100,-16.78,11,5.0,5.0,-1018.0,11:23:18.865879,192.168.0.114
566,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,81,50,100,-16.84,11,-1.0,-12.0,-1025.0,11:23:18.970943,192.168.0.114
571,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,66,67,81,50,100,-16.86,11,12.0,-13.0,-996.0,11:23:19.069994,192.168.0.114
576,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,66,67,81,50,100,-16.8,11,-14.0,-6.0,-1002.0,11:23:19.172411,192.168.0.114
581,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,66,67,81,50,100,-16.86,11,-26.0,9.0,-974.0,11:23:19.274265,192.168.0.114
586,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,66,67,80,50,100,-16.78,11,12.0,-21.0,-1014.0,11:23:19.377225,192.168.0.114
592,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,66,67,80,50,100,-16.78,11,17.0,11.0,-1055.0,11:23:19.479215,192.168.0.114
597,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,66,67,80,50,100,-16.81,11,8.0,-13.0,-1006.0,11:23:19.580307,192.168.0.114
602,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,66,67,80,50,100,-16.93,11,12.0,-18.0,-993.0,11:23:19.682162,192.168.0.114
607,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,66,67,80,50,100,-16.89,11,29.0,-28.0,-998.0,11:23:19.784508,192.168.0.114
612,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,66,67,80,50,100,-16.81,12,8.0,-6.0,-1018.0,11:23:19.886441,192.168.0.114
617,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,66,67,80,50,100,-16.87,12,24.0,-38.0,-992.0,11:23:19.988063,192.168.0.114
622,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,81,50,100,-16.78,12,2.0,-15.0,-1001.0,11:23:20.090202,192.168.0.114
627,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,80,50,100,-16.75,12,18.0,-18.0,-995.0,11:23:20.192311,192.168.0.114
632,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,81,50,100,-16.8,12,3.0,4.0,-979.0,11:23:20.294298,192.168.0.114
637,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,81,50,100,-16.87,12,35.0,-12.0,-1020.0,11:23:20.396338,192.168.0.114
642,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,81,50,100,-16.9,12,38.0,-28.0,-988.0,11:23:20.498086,192.168.0.114
648,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,81,50,100,-16.89,12,10.0,-13.0,-984.0,11:23:20.600523,192.168.0.114
653,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,82,50,100,-16.85,12,19.0,-13.0,-989.0,11:23:20.701920,192.168.0.114
657,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,81,50,100,-16.9,12,26.0,-9.0,-1006.0,11:23:20.804229,192.168.0.114
663,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,81,50,100,-16.76,13,2.0,1.0,-1009.0,11:23:20.906038,192.168.0.114
666,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,65,67,81,50,100,-16.76,13,8.0,-14.0,-992.0,11:23:20.957032,192.168.0.114
673,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,66,68,81,50,100,-16.85,13,50.0,-10.0,-1000.0,11:23:21.110531,192.168.0.114
678,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,66,68,82,50,100,-16.8,13,23.0,-7.0,-988.0,11:23:21.212301,192.168.0.114
683,-1,-100,-100,-100,"0,0,0",0,-1,0,0,0,0,66,68,81,50,100,-16.79,13,9.0,-20.0,-1006.0,11:23:21.314237,192.168.0.114
688,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,66,68,80,50,100,-16.69,13,32.0,-12.0,-1004.0,11:23:21.416781,192.168.0.114
691,-1,-100,-100,-100,"0,0,0",0,-1,0,0,0,0,66,68,80,50,100,-16.66,13,20.0,-17.0,-993.0,11:23:21.467242,192.168.0.114
696,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,66,68,79,50,100,-16.67,13,16.0,-17.0,-1015.0,11:23:21.569155,192.168.0.114
701,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,66,68,79,50,100,-16.63,13,-5.0,-34.0,-977.0,11:23:21.671458,192.168.0.114
706,-1,-100,-100,-100,"0,0,0",0,1,0,0,0,0,66,68,78,50,100,-16.6,13,-18.0,-26.0,-1031.0,11:23:21.773335,192.168.0.114
711,-1,-100,-100,-100,"0,0,0",0,1,0,0,0,0,66,68,78,50,100,-16.68,14,-16.0,-39.0,-994.0,11:23:21.875006,192.168.0.114
716,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,66,68,77,50,100,-16.8,14,-3.0,-21.0,-1073.0,11:23:21.976779,192.168.0.114
721,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,66,68,77,50,100,-16.73,14,25.0,-28.0,-1024.0,11:23:22.078942,192.168.0.114
726,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,66,68,77,50,100,-16.71,14,6.0,-28.0,-976.0,11:23:22.181142,192.168.0.114
731,-1,-100,-100,-100,"0,0,0",0,1,0,0,0,0,66,68,77,40,100,-16.61,14,-8.0,-38.0,-986.0,11:23:22.283062,192.168.0.114
736,-1,-100,-100,-100,"0,0,0",0,2,0,0,0,0,66,68,76,40,100,-16.61,14,13.0,-17.0,-1034.0,11:23:22.385285,192.168.0.114
741,-1,-100,-100,-100,"0,0,0",0,1,0,0,0,0,66,68,76,40,100,-16.63,14,-17.0,-42.0,-1001.0,11:23:22.487070,192.168.0.114
746,-1,-100,-100,-100,"0,0,0",0,1,0,0,0,0,66,68,76,40,100,-16.67,14,21.0,-71.0,-1047.0,11:23:22.588849,192.168.0.114
751,-1,-100,-100,-100,"0,0,0",-1,2,0,0,0,0,66,68,76,40,100,-16.6,14,22.0,-33.0,-1034.0,11:23:22.691986,192.168.0.114
756,-1,-100,-100,-100,"0,0,0",0,2,0,0,0,0,66,68,77,40,100,-16.72,14,12.0,-52.0,-1005.0,11:23:22.793961,192.168.0.114
761,-1,-100,-100,-100,"0,0,0",0,2,0,0,0,0,66,68,79,50,100,-16.64,15,-23.0,-26.0,-1004.0,11:23:22.896152,192.168.0.114
767,-1,-100,-100,-100,"0,0,0",0,2,0,0,0,0,66,68,80,50,100,-16.65,15,15.0,-25.0,-997.0,11:23:22.998609,192.168.0.114
772,-1,-100,-100,-100,"0,0,0",0,1,0,0,0,0,66,68,81,50,100,-16.72,15,12.0,-33.0,-1002.0,11:23:23.102336,192.168.0.114
777,-1,-100,-100,-100,"0,0,0",0,1,0,0,0,1,66,68,83,50,100,-16.79,15,9.0,-2.0,-981.0,11:23:23.203617,192.168.0.114
782,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,66,68,83,50,100,-16.76,15,10.0,-17.0,-959.0,11:23:23.302803,192.168.0.114
787,-1,-100,-100,-100,"0,0,0",0,0,1,0,0,0,66,68,84,50,100,-16.68,15,5.0,-13.0,-960.0,11:23:23.404813,192.168.0.114
792,-1,-100,-100,-100,"0,0,0",0,0,1,0,0,0,66,68,84,50,100,-16.58,15,20.0,-7.0,-972.0,11:23:23.506752,192.168.0.114
797,-1,-100,-100,-100,"0,0,0",0,0,1,0,0,0,66,68,84,50,100,-16.54,15,0.0,1.0,-977.0,11:23:23.608787,192.168.0.114
802,-1,-100,-100,-100,"0,0,0",1,0,1,0,0,0,66,68,84,50,100,-16.65,15,-4.0,-1.0,-962.0,11:23:23.710770,192.168.0.114
807,-1,-100,-100,-100,"0,0,0",0,0,2,0,0,0,66,68,83,50,100,-16.67,15,23.0,-20.0,-946.0,11:23:23.812968,192.168.0.114
812,-1,-100,-100,-100,"0,0,0",0,0,5,0,0,0,66,68,82,50,100,-16.7,16,24.0,0.0,-920.0,11:23:23.914904,192.168.0.114
817,-1,-100,-100,-100,"0,0,0",0,-1,8,0,0,0,66,68,82,50,100,-16.69,16,-16.0,-15.0,-1022.0,11:23:24.017065,192.168.0.114
822,-1,-100,-100,-100,"0,0,0",0,0,11,0,0,0,66,69,81,50,100,-16.57,16,-7.0,9.0,-999.0,11:23:24.119180,192.168.0.114
828,-1,-100,-100,-100,"0,0,0",0,0,15,0,0,0,66,69,81,50,100,-16.83,16,-18.0,22.0,-980.0,11:23:24.221427,192.168.0.114
833,-1,-100,-100,-100,"0,0,0",0,-1,20,0,0,0,66,69,80,50,100,-16.78,16,-1.0,2.0,-980.0,11:23:24.322940,192.168.0.114
838,-1,-100,-100,-100,"0,0,0",-1,-2,23,0,0,0,66,69,78,50,100,-16.7,16,19.0,12.0,-1001.0,11:23:24.424745,192.168.0.114
